grid_cell,metric,trend_mean,trend_l95,trend_u95,p_pos,sig95
774,corrected_richness,3.711941022052946,3.2198528227295102,4.163493324721733,1,TRUE
775,corrected_richness,3.173517392464397,2.840409102275802,3.523681680195176,1,TRUE
776,corrected_richness,3.300471638268072,2.9612489183021133,3.664374710192859,1,TRUE
777,corrected_richness,3.6860059744217315,3.2650219445063247,4.114690698754122,1,TRUE
778,corrected_richness,3.1996342649478846,2.8663208247628917,3.591840847006011,1,TRUE
783,corrected_richness,1.936751529017168,1.5747264871760134,2.27117305366498,1,TRUE
784,corrected_richness,1.8112811374696223,1.4570480421734924,2.1616713577916284,1,TRUE
785,corrected_richness,1.9730575020384649,1.5857601688303002,2.3494732521057884,1,TRUE
787,corrected_richness,2.56600368530925,2.258060192256121,2.873364493992476,1,TRUE
788,corrected_richness,2.5299445312435345,2.2220826891175487,2.840055861767601,1,TRUE
804,corrected_richness,2.5524742283451616,2.173911774713627,2.9115990477122993,1,TRUE
805,corrected_richness,2.4913501669832843,2.058847810390083,2.901561890286082,1,TRUE
806,corrected_richness,2.396764605483748,1.9360351201382209,2.8003318281130585,1,TRUE
807,corrected_richness,2.5662108159722083,2.18155070764808,2.8917514380944156,1,TRUE
808,corrected_richness,2.6328039112186703,2.2430904413091315,3.054108311017878,1,TRUE
809,corrected_richness,2.9948259061197846,2.6525118507741245,3.3456503429034865,1,TRUE
810,corrected_richness,2.9044539494070722,2.5397012191186525,3.252507852919267,1,TRUE
811,corrected_richness,3.1702191984127275,2.7719205956887802,3.47810054583319,1,TRUE
812,corrected_richness,3.4646584268562157,3.0317952747747547,3.773566463796418,1,TRUE
813,corrected_richness,3.404739460398143,2.967651217147185,3.759193735053238,1,TRUE
845,corrected_richness,3.1936953638623846,2.7147769133616495,3.5976307567161765,1,TRUE
846,corrected_richness,3.0205111797560926,2.396164678620988,3.6853107969181544,1,TRUE
847,corrected_richness,2.7356149577370648,2.3100789892084896,3.115159333016948,1,TRUE
848,corrected_richness,2.730881102310888,2.2985408562125147,3.170512300035137,1,TRUE
849,corrected_richness,2.926674942048519,2.476727357351243,3.3619461660846386,1,TRUE
850,corrected_richness,2.936867774972918,2.5211714990342258,3.3023546240185913,1,TRUE
851,corrected_richness,3.0432669498854876,2.653992223767436,3.479225815677692,1,TRUE
854,corrected_richness,2.70227854281339,2.2951315785288857,3.124097661472379,1,TRUE
855,corrected_richness,2.649986552481136,2.2523802022575667,3.087254085125919,1,TRUE
856,corrected_richness,2.719902108960966,2.319955298758121,3.1671773017783345,1,TRUE
857,corrected_richness,2.8547114675494134,2.4838750760485966,3.229047273440237,1,TRUE
858,corrected_richness,3.0449465254145136,2.6777426236013504,3.4097296929175824,1,TRUE
859,corrected_richness,2.966615642305255,2.55786437138287,3.4563546780849257,1,TRUE
860,corrected_richness,2.9557333114203757,2.6181948457527935,3.353014020246266,1,TRUE
876,corrected_richness,2.4608080780682524,2.1005914331161897,2.8337238469699795,1,TRUE
877,corrected_richness,2.7123668614249814,2.3531491597549787,3.06936280474748,1,TRUE
878,corrected_richness,2.744468795596237,2.3765838945186726,3.1099348008972174,1,TRUE
879,corrected_richness,2.7627706664205514,2.3878196749156864,3.1302572487202394,1,TRUE
881,corrected_richness,2.796421897096539,2.428378749371115,3.141499651870356,1,TRUE
882,corrected_richness,2.9433068268531284,2.5883371514985014,3.286854961456535,1,TRUE
883,corrected_richness,3.183780209716936,2.768686560410322,3.517119208587896,1,TRUE
884,corrected_richness,2.5418136836508722,2.0600627072023525,2.954506072849744,1,TRUE
885,corrected_richness,3.1085014266052986,2.6803998980614154,3.530490221800355,1,TRUE
916,corrected_richness,3.5727794955479646,3.1092751398107406,3.997296410958581,1,TRUE
917,corrected_richness,3.561758543345417,3.048471471245497,4.014470690128025,1,TRUE
918,corrected_richness,4.05379496781654,3.5301581712189867,4.551307787567812,1,TRUE
919,corrected_richness,3.98151825142142,3.374699531405693,4.424573407336325,1,TRUE
920,corrected_richness,3.730973770120125,3.160181120384886,4.149828447737592,1,TRUE
921,corrected_richness,2.8349514957648547,2.3614232202923113,3.2342434578590473,1,TRUE
922,corrected_richness,2.5382145618127554,2.0926787328885035,3.0372461007084897,1,TRUE
923,corrected_richness,2.446526867527552,2.0797518276348845,2.8131806640635815,1,TRUE
926,corrected_richness,2.7233292238979034,2.324834014415165,3.1212688697350672,1,TRUE
927,corrected_richness,2.8797320376759776,2.455757216443068,3.2664938739011693,1,TRUE
929,corrected_richness,2.784030445761844,2.3799527046253126,3.231635310472694,1,TRUE
930,corrected_richness,2.970364055508715,2.523023936357127,3.460123597755939,1,TRUE
931,corrected_richness,2.827659593504992,2.368079701391565,3.27966071577128,1,TRUE
947,corrected_richness,2.4312691870948737,2.0969113150549505,2.747884045476863,1,TRUE
948,corrected_richness,2.4994314390814214,2.1676963762120605,2.7987154560889214,1,TRUE
949,corrected_richness,2.6665189688547226,2.322986838833338,2.9496404326385384,1,TRUE
950,corrected_richness,2.718832018598271,2.383389818415008,3.0276657339948327,1,TRUE
951,corrected_richness,2.7648894477723793,2.4221290987005797,3.0984178321234035,1,TRUE
952,corrected_richness,2.822140541603524,2.4852276805461178,3.174966973145776,1,TRUE
953,corrected_richness,2.870697689907902,2.4948150473236494,3.2289108874066987,1,TRUE
955,corrected_richness,2.8025825956334613,2.408732870662099,3.222593674403513,1,TRUE
956,corrected_richness,2.8919274315486323,2.528233586635109,3.2857677521034367,1,TRUE
