mean,sd,q025,median,q975,metric,period,grid_cell
46.07945236100391,0.884006129456889,44.38562373373236,46.103048966199964,47.800940974940644,corrected_richness,P1,952
44.49697658052913,0.9126499212038538,42.61773478804503,44.48771445344717,46.179719965442814,corrected_richness,P1,953
53.50942865944197,0.8076955305246253,51.89090032299959,53.529990967914664,55.00957311569782,corrected_richness,P1,955
52.94220129271484,0.8153595854137126,51.38962403584133,52.90157359061892,54.49326174406253,corrected_richness,P1,956
63.93182454083121,1.7226838469476393,60.69306074124225,63.85353731275349,66.99218619422865,corrected_richness,P1,985
65.10400445988404,1.7136553121295637,61.804438436794115,65.09835561543116,68.19212219303127,corrected_richness,P1,986
68.21057543429848,1.6784987933511146,65.0315305893905,68.26520122785632,71.29829670556435,corrected_richness,P1,987
75.94167760006401,1.4234142550045672,73.1412157681203,75.99795188962649,78.53179523635441,corrected_richness,P1,988
75.28840565677686,1.3310736841931685,72.69172489731324,75.41375909742318,77.79561195979178,corrected_richness,P1,989
80.28593739208569,1.2447628728328464,77.78861855003359,80.40410545388185,82.58699937918422,corrected_richness,P1,991
83.14982023193852,1.2509012294489323,80.55728359006807,83.1897911084107,85.45896813079824,corrected_richness,P1,992
83.09928890316198,1.3206916793016714,80.42317947990534,83.1328771092911,85.59173879476812,corrected_richness,P1,993
86.6085453442094,1.2439081571466075,84.29955995996582,86.6049194657705,88.83840521101696,corrected_richness,P1,994
90.66055671437009,1.1847492975339262,88.3994616644715,90.63744975479449,92.79554208330515,corrected_richness,P1,995
90.35999416679786,1.2583431864248922,88.09278802552726,90.34775324548198,92.54390958408152,corrected_richness,P1,996
98.6819016867444,1.0880096606119805,96.4186100257852,98.74928561861657,100.649481321209,corrected_richness,P1,997
99.88142340820083,1.130151684268944,97.5686607666011,100.01550668841682,101.88747053684214,corrected_richness,P1,999
92.68027563388878,1.115971229759669,90.45500718446738,92.78017317547304,94.82349166276572,corrected_richness,P1,1001
88.61631643989772,1.2364557343489342,86.2663348309229,88.66635227122842,90.97871371513544,corrected_richness,P1,1002
89.0495117387119,1.296046270117239,86.57667196963725,89.07900948472903,91.54148969834617,corrected_richness,P1,1003
49.4805755740966,1.2734598264591046,46.98384811104039,49.51292279171463,52.00156010809728,corrected_richness,P1,1018
46.76680488110771,1.2506796569569474,44.35816251930756,46.75298727999049,49.319170723409925,corrected_richness,P1,1019
38.859593911958875,1.2359757043368023,36.29685032230234,38.80249473501221,41.401348737251425,corrected_richness,P1,1021
38.06766234973457,1.1429055756228779,35.80177628539736,38.05136776747054,40.344470319102285,corrected_richness,P1,1022
39.926850226650046,1.0709074124302025,37.82373556282805,39.93960159851296,42.0217498904525,corrected_richness,P1,1023
39.964225324441074,1.141346077126274,37.534353711139616,39.97401575172097,42.184888914139364,corrected_richness,P1,1025
40.00317606062705,1.1347493202601928,37.689913208796746,39.9800796699398,42.08259280171834,corrected_richness,P1,1027
40.33252320657665,1.1034226542667536,38.171208218226546,40.33130638144921,42.44539975580126,corrected_richness,P1,1028
42.12138856998392,1.0699846214504931,40.06318206900851,42.15392616479846,44.345715581644015,corrected_richness,P1,1029
74.91138069976158,1.789329108934572,71.39043297906555,74.98745689179225,78.31472668868945,corrected_richness,P1,1055
84.24225294598395,1.5870146587088414,80.82438631609604,84.27214448198029,87.45033493193732,corrected_richness,P1,1057
86.37247808868331,1.4925967729149623,83.22802202040776,86.44504685498325,89.14568117437597,corrected_richness,P1,1058
86.11923183088979,1.6612826307652873,82.74808883455752,86.13439609483828,89.1153778359887,corrected_richness,P1,1061
88.09401577773666,1.4704025404633454,85.12663823661549,88.12970082692152,90.71839313230782,corrected_richness,P1,1063
91.00302815090295,1.452185311915481,88.09656607296085,90.97783226728441,93.55601727320337,corrected_richness,P1,1064
88.64917373100573,1.7335900114707106,85.25774891660133,88.68859081603874,91.81636603607635,corrected_richness,P1,1065
89.20118852835466,1.541428949458833,86.24563169544429,89.1785318398426,92.02543400137579,corrected_richness,P1,1066
73.97602566207247,1.3752656717225047,71.16830991825616,73.97292114564758,76.47142183931858,corrected_richness,P1,1068
74.99166280486047,1.4182202199140579,72.22370541016176,74.972377128668,77.72292568301722,corrected_richness,P1,1069
79.11551367395617,1.3294799011661251,76.46194827485029,79.13945200730663,81.53728929181477,corrected_richness,P1,1070
83.26135725401772,1.2405581057448554,80.84132768519063,83.30016732728367,85.58703916077579,corrected_richness,P1,1073
83.69522621627564,1.2507110040169258,81.20725666545798,83.76840202792896,85.99349758919077,corrected_richness,P1,1075
82.19164954586147,1.2591324720531394,79.56522661522384,82.2518451311457,84.38488292137842,corrected_richness,P1,1076
41.58986797158939,1.0836365013834397,39.48288572496115,41.61810194969934,43.73827796468423,corrected_richness,P1,1089
42.1619974360753,1.0333672318142104,40.1520088925065,42.210352542808174,44.208765422090615,corrected_richness,P1,1090
43.553009222124686,1.0513786815730732,41.55086732020017,43.59736801611231,45.55599137659906,corrected_richness,P1,1091
44.62570706811394,1.0509287093214774,42.56358176898498,44.65823950193604,46.64430915009729,corrected_richness,P1,1092
